review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,review_advice,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,Segment,Theme,Sentiment
63,2025-02-18T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,NEUTRAL,APPROVE,POSITIVE,3,3,4,4,Fulfillment worker ,Amazon Fulfillment Center,,,"San Antonio, TX",L1 Associate,,#NAME?,#NAME?,4,3,4,Full-Time Associates,No Theme,neutral
64,2025-02-18T00:00:00.000Z,0,0,9,REGULAR,Current employees,False,False,POSITIVE,NO_OPINION,POSITIVE,4,3,4,3,Senior Program Manager | Lean Methodologies | Learning &amp; Quality Excellence | Driving Operational Efficiency,Amazon Fulfillment Center,,,"Carrollton, TX",Sr Program Manager,"Trust your team to get the job done, and reward them when they do. ","Growth &amp; Development
Relationships
Innovation
Fun
The Actual Work is Awesome",The cons are the same as they would be at any job.,3,3,2,Managers & Leadership,No Theme,neutral
65,2025-02-18T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,5,0,Good,Amazon Fulfillment Center,,,"Brampton, ON",Warehouse Associate,,"Good benefits 
Environment
Team work 
Great pay",I don’t think there is any downside,0,0,0,Full-Time Associates,No Theme,neutral
66,2025-02-18T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,POSITIVE,DISAPPROVE,NEGATIVE,1,2,2,1,"High Pressure to Perform, Difficult to maintain Safety Standards",Amazon Fulfillment Center,,,"San Bernardino, CA",ICQA Associate,"Your HR is so protective you're losing connection with your workers, and you should allow unions so that people feel safe to work for you and build a career.","Needed a job fast, onboarding was fast, skills requirements low, pay was at a local average. It was fun to work at a robotics fulfillment center","Metrics are always a part of their work experience. Day to day optimizations, PAs always coming by to give you feedback can make it seem like all that matters is your numbers. Focus on your numbers and output, focus focus focus. Problem for me was that even though I could do great and kept a high quality, maintaining that speed and quality was really draining, especially at 10 hour shifts in an industrial environment with literally only your 2 (sometimes none) neighbors to talk to to pass the long day of repetitive tasks. That's another thing, the physical and mental aspect of the repetitious task is not just mentally draining, but despite their regular safety meetings, warnings, and signs plastered all over the place, there's so much pressure to increase performance consistently that lots of people are cutting corners just to keep from getting canned. I myself ended up with a repetitive motion injury in my hand due to pulling items out of cubbies and it's basically already covered by their policies so there's nothing to do but grin and bear it. My recommendation? Educate yourself on the safety policies, speak up loudly and frequently in group settings when you feel something isn't safe (to keep leadership accountable) and don't push yourself physically to meet your numbers. It's difficult when you've got bills to pay but not worth your long term mobility and health. Build your skills and find work with another company that respects your body more.",3,1,3,Full-Time Associates,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management",neutral
67,2025-02-18T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,,,,0,0,3,0,Good,Amazon Fulfillment Center,,,"Bellevue, WA",Software Development Engineer (SDE),,Good work and lot to learn,Too much work and no work life balance,0,0,0,Full-Time Associates,No Theme,positive
68,2025-02-17T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,,0,0,3,4,Not proper training,Amazon Fulfillment Center,,,"Portland, OR",Sortation Associate,,"Good pay, shift options and benefits",Not being able to train well their employees,0,0,3,Part-Time Workers,No Theme,positive
69,2025-02-17T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,4,Great Opportunity and Awesome Benefits,Amazon Fulfillment Center,,,"Etna, OH",Associate,Hire me back. I didn’t know what I had until it was gone and I regret leaving.,"The benefits and how the Amazon AtoZ app worked was all great. It was so thorough and simple, and the work was repetitive but made time fly by.","There was a decent bit of people up there that didn’t speak much English and it would be hard to communicate with them sometimes, but everyone was helpful when needed.",5,4,4,Full-Time Associates,Inconsistent & Unsupportive Management,neutral
70,2025-02-13T00:00:00.000Z,0,0,0,INTERN,Former employee,False,False,,,,0,0,4,0,HR Partner Intern at Amazon,Amazon Fulfillment Center,,,"Tampa, FL",HR Partner Intern,,Good pay and benefits for the interns,"Since the site is 24 hours, you may get the night shift",0,0,0,Full-Time Associates,Shift Length & Break Policy Strain,neutral
71,2025-02-12T00:00:00.000Z,0,0,0,CONTRACT,Former employee,False,False,,,,0,0,2,0,"Good, not great ",Amazon Fulfillment Center,,,"Brampton, ON",Fulfillment Associate,,Daytime hours good for work/life balance,Nighttime shift is an absolute mess,0,0,0,Contract Workers,Shift Length & Break Policy Strain,neutral
72,2025-02-11T00:00:00.000Z,0,0,0,INTERN,Former employee,False,False,,,,0,0,4,0,You get out what you put in ,Amazon Fulfillment Center,,,"Spokane, WA",Area Manager Intern,,hands on work with real experience managing associates,overwork the interns like an associate if you don't differentiate yourself or advocate for work,0,0,0,Managers & Leadership,No Theme,neutral
73,2025-02-10T00:00:00.000Z,0,0,1,PART_TIME,"Current employee, less than 1 year",False,False,,,,5,5,5,5,great working place for starters,Amazon Fulfillment Center,,,Paderborn,FC Associate I,,"fixed hours.
both parttime and fulltime available",should pay more for overtime.,5,5,5,Part-Time Workers,Shift Length & Break Policy Strain,positive
74,2025-02-07T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,4,4,5,4,Good salary but difficult targets,Amazon Fulfillment Center,,,"Brampton, ON",Warehouse Associate,Listen to your employees,They provide a healthy salary. Every six months a salary hike and good benefits.,They ask for difficult targets. There are some internal politics that still exist.,4,4,4,Full-Time Associates,No Theme,negative
75,2025-02-06T00:00:00.000Z,0,0,4,PART_TIME,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,4,5,4,5,Amazon job,Amazon Fulfillment Center,,,"Delta, BC",Warehouse Worker,,"Good schedule , good pay","Heavy work load, long shifts",5,4,5,Part-Time Workers,Shift Length & Break Policy Strain,negative
76,2025-02-06T00:00:00.000Z,0,0,1,CONTRACT,"Current employee, less than 1 year",False,False,NEUTRAL,APPROVE,POSITIVE,5,5,5,5,best pay rate,Amazon Fulfillment Center,,,"Gateshead, England",FC Associate,,"good management, best work culture, nice colleagues","shift patterns, break timings, team leads",5,5,5,Contract Workers,Shift Length & Break Policy Strain,neutral
77,2025-02-04T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,2,1,1,Hard Pass,Amazon Fulfillment Center,,,"Delta, BC",Process Associate,Focus more on taking care of the people who are driving your productivity and acknowledge they are why you are successful.,"Was a job that paid the bills. 
Makes you really appreciate working somewhere else","Only cared about increasing productivity and not at all about the people. Whoever coined them as equality opportunity employees needs to look up the definition. 
Save your physical and mental well being an look for employment elsewhere.",4,1,1,Full-Time Associates,Physical Labor Intensity,neutral
78,2025-02-03T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,4,4,4,3,It's not a technical job.,Amazon Fulfillment Center,,,"Boston, MA",Non-Inventory Receiver,,"If you want to have a smooth start at work, I think it's a good idea",Internal promotion is a bit difficult and may take a long time.,4,4,4,Full-Time Associates,Shift Length & Break Policy Strain,negative
79,2025-01-28T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,4,4,4,4,Sueldo base Amazon técnico RME ,Amazon Fulfillment Center,,,El Prat de Llobregat,Técnico de mantenimiento industrial,,Horario flexible y muchos pluses en fin de semana,El metro tarda mucho en llegar al prat,4,4,4,Part-Time Workers,No Theme,neutral
80,2025-01-28T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,,0,0,4,0,It's a good beginner job,Amazon Fulfillment Center,,,"Chattanooga, TN",Warehouse Packer,,"Job is not hard, the people were friendly and helpful.",12 hour work days during busy times,0,0,0,Pickers & Stowers,No Theme,neutral
81,2025-01-23T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,NEGATIVE,APPROVE,POSITIVE,2,3,2,1,Great benefits on sign in but deteriorate rapidly after first year,Amazon Fulfillment Center,,,"Mississauga, ON",Whs Specialist,,"Fast paced, challenging and great learning opportunities; great overall benefits from day 1","Hectic hours, little flexibility, pay structure, call out culture leads to internal fights to show who is better",3,2,2,Full-Time Associates,Shift Length & Break Policy Strain,positive
82,2025-01-17T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,NEUTRAL,NO_OPINION,POSITIVE,2,4,3,3,"If you can deal with it, it’s a good job",Amazon Fulfillment Center,,,,,,Very simple and not complicated,High expectations and comes with some petty drama,3,2,1,Full-Time Associates,No Theme,positive
83,2025-01-16T00:00:00.000Z,0,0,1,PART_TIME,"Current employee, less than 1 year",False,False,,,,0,0,5,0,Amazing,Amazon Fulfillment Center,,,Euskirchen,Sortiermitarbeiter,,"Gute Leitungen.
Gute Mitarbeitern
Gute Arbeit",Es gibt keine Kontras für der Arbeit,0,0,0,Part-Time Workers,No Theme,neutral
84,2025-01-15T00:00:00.000Z,0,0,0,PART_TIME,Former employee,False,False,,,,0,0,3,0,Good place to learn,Amazon Fulfillment Center,,,"Warrington, North West England, England",FC Associate,,Develops a strong work ethic for employees,No consideration of human feeling within the workplace,0,0,0,Part-Time Workers,No Theme,neutral
85,2025-01-11T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,POSITIVE,NO_OPINION,POSITIVE,4,4,3,5,"Amazon FC Hamilton, a great place to work",Amazon Fulfillment Center,,,"Hamilton, ON",Associate,Eliminate the hiring freeze.,"I made a mistake leaving, never should have. Hard job to do, but well worth it.","Can't get rehired. They aren't hiring now, or for the last while",4,3,3,Full-Time Associates,No Theme,neutral
86,2025-01-11T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,NEGATIVE,2,3,3,1,Don't get too comfortable,Amazon Fulfillment Center,,,"Dallas, TX",Associate,,"The pay is not bad, and you are paid weekly.","They work you like a dog, regardless of age or ability. Their retention rate is ridiculous, and their managers always quit or are moved around.",3,3,2,Full-Time Associates,Inconsistent & Unsupportive Management,negative
87,2025-01-11T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,3,3,Hard work ,Amazon Fulfillment Center,,,"Huntley, IL",Palletizer,Move people around so they can get a break on positions. Give equal work to everyone . My manager favors groups of people,Can work with friends and can sometimes take your time. The job comes with sOME benefits,"A lot of work on the body. Depending where you’re placed, you’re doing the same thing for 10+ hours straight . lifting heavy heavy boxes.",5,2,5,Full-Time Associates,"Shift Length & Break Policy Strain, Physical Labor Intensity",neutral
88,2025-01-10T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,3,4,3,2,Rating ,Amazon Fulfillment Center,,,"Edison, NJ",Stower,,"Make own hours
Good pay
Free food sometimes","Receptive 
Brain mush
Boring
Physically and mentally draining",3,3,3,Part-Time Workers,Physical Labor Intensity,negative
89,2025-01-10T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,POSITIVE,APPROVE,NEGATIVE,4,4,3,4,Amazing company ,Amazon Fulfillment Center,,,"Hamilton, ON",Associate,Be kind,Benefit and vacation and TPO,Big loads hard hours long,4,4,4,Full-Time Associates,Shift Length & Break Policy Strain,negative
90,2025-01-10T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,4,3,3,Heavy lifting,Amazon Fulfillment Center,,,"Grimes, IA",Associate,,"Ok money, good supervisors, swag bucks",Heavy lifting/ safety is a concern but don't expect them to care or pay you for your injuries,2,2,3,Full-Time Associates,Physical Labor Intensity,negative
91,2025-01-09T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,,,,0,0,4,0,"Fulfillment Center Warehouse Associate Review – Amazon MTN1, Wilmington",Amazon Fulfillment Center,,,"Wilmington, DE",Fulfillment Center Warehouse Associate,"Streamline workflows to reduce strain during peak seasons.
Enhance recognition programs to boost morale.
Provide better training for new and current associates.
Act on employee feedback to improve job satisfaction.","Competitive pay and benefits (healthcare, 401k, stock options).
Opportunities for career advancement and skill development.
Fast-paced, engaging work environment.
Supportive team culture with approachable management.
Job stability with a global company.","Physically demanding, especially during peak seasons.
Long shifts with limited break times.
Fluctuating workload, sometimes stressful.
Noisy warehouse environment.",0,0,0,Full-Time Associates,"Shift Length & Break Policy Strain, Physical Labor Intensity",neutral
92,2025-01-08T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,1,1,2,1,It was terrible ,Amazon Fulfillment Center,,,"Monroe, OH",Cherry Picker,Stop flirting with employees and trying to get your way.,The pay was good that’s pretty much it,It’s a lot of drama and it’s all about who you know to do what you wanna do there. Even if you get a different roll you still will be paid the same.,5,1,1,Pickers & Stowers,No Theme,neutral
93,2025-01-08T00:00:00.000Z,0,0,1,PART_TIME,"Current employee, less than 1 year",False,False,,,POSITIVE,4,4,4,5,Good Part Time opportunity,Amazon Fulfillment Center,,,"Lubbock, TX",Seasonal Associate,,"The job is repetitive, relatively easy to learn. HR is onsite and helpful.","The job is physically demanding, but once you get used to it it isn't so bad. Work ethic varies greatly, and hard work is not appreciated besides compliments from managers.",4,3,3,Part-Time Workers,"Physical Labor Intensity, Inconsistent & Unsupportive Management",neutral
94,2025-01-03T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,POSITIVE,DISAPPROVE,NEGATIVE,3,4,3,2,MCO1 Stow,Amazon Fulfillment Center,,,"Orlando, FL",Warehouse Associate,stowers for waterspiders should not have such an indirect role -- they really do need just a little bit more direction/labor tracking.  ,"decent pay for the type of work
great benefits (insurance, 401k, company stock and education/Career Choice)
generous time-off policy
plenty of people to get to know if you are a people person","very physically demanding
keeping your job depends on your rate -- your rate can depend on your waterspider who may not care that you do not have enough work/""good"" work to make rate and stay out of the bottom 5%",4,3,2,Full-Time Associates,Physical Labor Intensity,positive
95,2025-01-02T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,1,5,3,5,Its okay,Amazon Fulfillment Center,,,"Robbinsville, NJ",Warehouse Sortation Associate,,It pays the bills I guess.,The flex up / flex down thing here can be really annoying.,3,2,1,Part-Time Workers,No Theme,negative
96,2025-01-01T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,NEUTRAL,NO_OPINION,POSITIVE,4,4,3,4,Good place,Amazon Fulfillment Center,,,"Etna, OH",AA(Amazon Associate),Management keeps rotating,Work on your own terms,Heavy items when slow season,3,3,3,Full-Time Associates,No Theme,negative
97,2024-12-29T00:00:00.000Z,0,0,1,CONTRACT,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,unkn,Amazon Fulfillment Center,,,"Manchester, England",Warehouse Fulfillment Associate,the management is very good,Very good and nice culture,need to improve the salary range,5,5,5,Contract Workers,No Theme,neutral
98,2024-12-29T00:00:00.000Z,0,0,0,PART_TIME,Former employee,False,False,,,POSITIVE,0,0,5,0,A good place to work at,Amazon Fulfillment Center,,,"Dallas, TX",ICQA Associate,Stay off the cat walk,The benefits starts on day1,The standing for a long period of times and short lunches,0,0,0,Part-Time Workers,Shift Length & Break Policy Strain,neutral
99,2024-12-27T00:00:00.000Z,0,0,2,PART_TIME,Former employees,False,False,NEUTRAL,NO_OPINION,NEGATIVE,2,5,2,3,Wasn’t the greatest,Amazon Fulfillment Center,,,"Greenfield, IN",Sorter Loader,,"The pay was good, and the time off accumulating every shift was nice","They really didn’t care about their workers when I worked there. 
Bathroom breaks were like they were not acceptable",2,3,2,Part-Time Workers,Shift Length & Break Policy Strain,positive
100,2024-12-25T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,5,1,2,Not worth for the weather and long shifts,Amazon Fulfillment Center,,,"Orlando, FL",Driver Associate,Don't tell your incoming employees that you'll offer bonuses and then say sike when they get hired,"Simple to do, 4 day work week","10 hour shifts and have to deal with heat and rain,",1,1,1,Full-Time Associates,Shift Length & Break Policy Strain,neutral
101,2024-12-25T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,POSITIVE,APPROVE,POSITIVE,2,4,3,3,Decent,Amazon Fulfillment Center,,,,Associate,,Decent pay here at this job nothing too crazy,As a part time you only get 15 mins break,2,3,3,Part-Time Workers,Shift Length & Break Policy Strain,neutral
102,2024-12-17T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,5,5,5,5,A nice place to work,Amazon Fulfillment Center,,,"Scarborough, ON",Warehouse Associate,,You will gain alot of knowledge,Be ready to stand for the whole shift,5,5,5,Full-Time Associates,Shift Length & Break Policy Strain,positive
103,2024-12-17T00:00:00.000Z,0,0,20,REGULAR,Current employees,False,False,,,POSITIVE,5,5,5,5,Great Benefits ,Amazon Fulfillment Center,,,"Charleston, TN",Human Resource Associate Partner,,Mutiple time off options. Above average health insurance options.,"Small department, not a lot of room to move up without moving.",4,5,5,Full-Time Associates,No Theme,negative
104,2024-12-16T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,POSITIVE,4,5,4,4,,Amazon Fulfillment Center,,,"London, ON",FC Associate I,,"Good Benefits
Good pay
Celebrations","Repetitive work
Inappropriate rules
Partiality",5,4,4,Full-Time Associates,Physical Labor Intensity,negative
105,2024-12-16T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,,,,1,1,1,1,Physically Demanding job,Amazon Fulfillment Center,,,"San Bernardino, CA",Quality Control,,lots of overtime. Worked 60hours/week,"The cons are the same as the pros, but this website doesn't allow me to copy the same response.",1,1,1,Full-Time Associates,No Theme,neutral
106,2024-12-15T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,POSITIVE,DISAPPROVE,POSITIVE,3,4,4,3,Decent Pay,Amazon Fulfillment Center,,,"Sparrows Point, MD",Associate,,"Freedom
Opportunities
Career choice
Decent Pay","Physically tiring
Poor Training
Not enough benefits",3,3,3,Part-Time Workers,Physical Labor Intensity,negative
107,2024-12-15T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,,1,3,1,1,Cold,Amazon Fulfillment Center,,,"Rugeley, England",,,"Good managers, a lot of overtime available",Cold warehouse. Lonely isolating job,1,3,1,Full-Time Associates,Physical Labor Intensity,negative
108,2024-12-14T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,3,4,5,4,Pay,Amazon Fulfillment Center,,,"St. Thomas, ON",Associate,,Good pay rate for Associates,Lot of internal politics in the Amazon warehouses,5,5,5,Full-Time Associates,Physical Labor Intensity,neutral
109,2024-12-12T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,5,0,Good place,Amazon Fulfillment Center,,,"Council Bluffs, IA",Associate,,Good place to start a warehouse job.,Temperature is a little chilly.,0,0,0,Full-Time Associates,No Theme,negative
110,2024-12-11T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,,0,0,3,0,Boring,Amazon Fulfillment Center,,,"Jeffersonville, IN",ICQA Associate,,"PTO, same work every night.",Lots of turn over. Monotonous,0,0,0,Full-Time Associates,No Theme,neutral
111,2024-12-08T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,,,,5,5,4,4,Amazon,Amazon Fulfillment Center,,,"Goodyear, AZ",Warehouse Worker,,They have really good benefits,Some jobs can get overwhelming,5,4,5,Full-Time Associates,No Theme,positive
112,2024-12-07T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,4,0,Good Job and Pay,Amazon Fulfillment Center,,,"Leeds, England",Warehouse Associate,,"Easy, not much weight to handle","long shifts, stationed in one place",0,0,0,Full-Time Associates,Shift Length & Break Policy Strain,neutral
113,2024-12-05T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,,,NEGATIVE,2,3,3,1,"Good money, hardwork",Amazon Fulfillment Center,,,"Edmonton, AB",Associate,,Good money better than average job,"Favouritism, no appreciation, more work you do more you’ll get, less work you do less they will give",3,3,3,Full-Time Associates,No Theme,positive
114,2024-12-04T00:00:00.000Z,0,0,9,REGULAR,Current employees,False,False,POSITIVE,NO_OPINION,POSITIVE,3,5,3,1,Hard work,Amazon Fulfillment Center,,,"Windsor, CT",Packer,,Fast Advancements and great benefits,Very high turnover and not much accountability. Very long hours during holiday season.,3,3,3,Pickers & Stowers,Shift Length & Break Policy Strain,neutral
115,2024-12-03T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,3,3,3,3,Not Bad,Amazon Fulfillment Center,,,"Avenel, NJ",FC Associate I,Lower the rate. Or increase the pay. And give out more shifts.,Simple work is required of you.,Their rate per hour is slightly unreasonable due to the fact if the items are heavy in total it’s harder to walk around while pushing the heavy cart.,3,3,3,Part-Time Workers,No Theme,negative
116,2024-12-03T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,Good benefits bad work culture,Amazon Fulfillment Center,,,"Saint Louis, MO",Inbound Stower,"We are humans with our own lives outside of work. We are somebody’s child, wife, husband, father, mother or grandparent. We are not robots or machines to use and toss away whenever you feel like it. To some of us Amazon is one of our only choices to make a living for our families.","Great benefits, very flexible, lots of different positions to try out incase you don’t like your main role. Free holiday meals once a year. Come and leave work whenever you want using your unpaid time or pto. They lay for school and offer career programs although the tests to get into them are very difficult","Forced mandatory extra time. (My MET was 5 days of 11 1/2 hours and my regular shift is 3 days of 12 hours) you will get forced to cross trained and you will get labor shares to different departments wether you like that position or not. They have a very high expectations for making “rates” in your position. Managers and anyone in lead positions will micromanage and breathe down your neck. You are always getting watched and judged and everyone will shut down any minimal concern you have because nobody cares. They just care about saving their own behind. If you get hurt, well you better pray that you don’t because their AmCare will send you to their own doctor and they will lie and say you weren’t hurt at all so that they don’t have to pay for your injury or have you sue them. Some departments are very strict and WILL find reasons to write you up. You have to use some of your break time to get back to your station and sign in and scan something by the end of your break or you will get in trouble. You will use some of your break time just walking to the break area because it is SO far and so are the restrooms and don’t forget you need to use your break time to come back from break on time or you’ll get in trouble",3,1,3,Pickers & Stowers,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management",neutral
117,2024-12-02T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,3,0,Amazon,Amazon Fulfillment Center,,,"Orlando, FL",Picker,,A lot of hard work,Only care about the numbers,0,0,0,Pickers & Stowers,No Theme,neutral
118,2024-11-30T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,,APPROVE,POSITIVE,5,5,5,4,Amazon review,Amazon Fulfillment Center,,,"Ottawa, ON",Associate,,"It has good base pay, health benefits, and paid vacation.",Work is heavy sometimes and need physical strength.,5,5,5,Part-Time Workers,Physical Labor Intensity,neutral
119,2024-11-29T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,,APPROVE,POSITIVE,0,0,5,5,I loved working there,Amazon Fulfillment Center,,,"Coconut Creek, FL",Picker/Packer,"Focus on Employee Well-Being.
Encourage a balance between productivity and employee health. Consider frequent breaks, ergonomic assessments, and wellness programs.","Employment stability 
Competitive pay
Benefits 
Diverse workforce","Physical demands 
Management challenges 
Monotonous tasks
High turnover rates
Fast spaced environment",5,0,5,Pickers & Stowers,"Physical Labor Intensity, Inconsistent & Unsupportive Management",positive
120,2024-11-27T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,5,0,The pay is good but the work sometimes can be a bit.... Boring,Amazon Fulfillment Center,,,"Charlotte, NC",Picking Associate,,Paid by the hour and if u stay long enough u get better pay well at least 1$ up,From what I've heard they treat ya like a number or a robot,0,0,0,Full-Time Associates,No Theme,neutral
121,2024-11-26T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,POSITIVE,NO_OPINION,POSITIVE,3,5,4,2,Great place to start oit,Amazon Fulfillment Center,,,"Calgary, AB",Dock Worker,,"Great benefits, great people to work with.",The work is very physically demanding,5,5,3,Full-Time Associates,Physical Labor Intensity,neutral
122,2024-11-23T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,4,3,4,3,Salary at Amazon,Amazon Fulfillment Center,,,"Sioux Falls, SD",Reliability & Maintenance Engineering,,Good pay from the company and lovely colleagues,Too much heat and a lot of noise,4,4,4,Full-Time Associates,No Theme,positive
123,2024-11-20T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,2,1,2,3,nothign,Amazon Fulfillment Center,,,"St. Thomas, ON",Warehouse Worker,,good pay and nice shift hours,politics and partiality play a major role,4,1,2,Full-Time Associates,No Theme,neutral
124,2024-11-19T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,,3,3,3,1,General,Amazon Fulfillment Center,,,"Dartford, England",Warehouse Operative,,Flexible working schedules and good pay,Extremely physical. Employees treated as machine sometimes.,4,3,4,Full-Time Associates,Physical Labor Intensity,neutral
125,2024-11-18T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,1,1,1,1,Review,Amazon Fulfillment Center,,,"Ottawa, ON",Warehouse Associate,"Treat associates with respect and dignity. Foster a more supportive environment, especially during challenging times, and ensure fair treatment for all employees, including those dealing with work-related injuries.","Good benefits.
Valuable working experience.
Opportunities to learn and grow.","Poor management support.
Lack of understanding during personal hardships.
Unfair treatment when injured on the job.
High-pressure environment with unrealistic expectations at times.",1,1,1,Full-Time Associates,"Shift Length & Break Policy Strain, Inconsistent & Unsupportive Management",negative
